name,calling_id,start_date,primary
Johnny O. Baddoo,27,,1
Laurian P. Balilemwa,27,,1
Willy Binene,27,,1
Jean Pierre A. L. Haboko,27,,1
Ndalamba Ilunga,27,,1
Frederick M. Kamya,27,,1
Kyoni Kasongo,27,,1
Pungwe S. Kongolo,27,,1
George Katembo Njogu Munene,27,,1
Charden Ndinga,27,,1
David Ngabizele,27,,1
Kabemba F. Nyembo,27,,1
Mees Bulang-C. Tshiband,27,,1
Duane D. Bell,27,,1
Freeman Dickie,27,,1
Amândio A. Feijó,27,,1
Glenn M. Holmes,27,,1
Carl F. Krauss,27,,1
Thabo Lebethoa,27,,0
Ignatius Maziofa,27,,1
Siyabonga Mkhize,27,,1
Albert Mutariswa,27,,1
Kgomotso T. Sehloho,27,,1
Asuquo E. Udobong,27,,1
Dwayne J. Van Heerden,27,,1
Daniel A. Abeo,27,,1
Richard K. Ahadjie,27,,1
Jonah Akekere,27,,1
Samuel Annan-Simons,27,,1
Patrick Appianti-Sarpong,27,,1
Michel D. Avegnon,27,,1
Ignatius K. Baidoo,27,,1
Victor O. Bassey,27,,1
William G. Coleman,27,,1
Sancho N. Chukwu,27,,1
Marcel Guei,27,,1
Okechukwu I. Imo,27,,1
Mathias N. Niambe,27,,1
Enefiok Ntem,27,,1
Prince S. Nyanforh,27,,1
Charles O. Oide,27,,1
Akingbade A. Ojo,27,,1
Justice N. Otuonye,27,,1
Kenneth Pambu,27,,1
Tonga J. Sai,27,,1
Kofi G. Sosu,27,,1
Chimaroke G. Udeichi,27,,1
Ross A. Chiles,27,,1
Stephen W. Dyer,27,,1
Bun Huoch Eng,27,,1
John Gutty,27,,1
Yew Mun Kwan,27,,1
Natthapol Lattisophonkul,27,,1
Wai Hung Mak,27,,1
Nithya Kumar Sunderraj,27,,1
Juswan Tandiman,27,,1
Min Zu Wang,27,,1
Shih Ning (Steve) Yang,27,,1
William H. K. Davis,27,,1
Darwin W. Halvorson,27,,1
Shinjiro Hara,27,,1
Yuichi Imai,27,,1
Dong Hwan Jeong,27,,1
Motoshige Karino,27,,1
Dan Kawashima,27,,1
Woo Cheol Lee,27,,1
Kyung Yeol Park,27,,1
Elzimar Gouvêa de Albuquerque,27,,1
Marcelo Andrezzo,27,,1
Mauricio A. Araújo,27,,1
Odilon Asevedo,27,,1
Carlos A. Baptista,27,,1
Bruno V. Barros,27,,1
Marco A. Becegato,27,,1
Eber Antônio Beck,27,,1
A. Kaulle Bezerra,27,,1
Rogério Boschi,27,,1
Kennedy F. Canuto,27,,1
Palmênio C. Castro,27,,1
