name,organization,calling,start_date,end_date,primary
Joseph Smith,The First Presidency,President,1832-03-08,1844-06-27,0
Jesse Gause,The First Presidency,1st Counselor,1832-03-08,1832-12-03,0
Sidney Rigdon,The First Presidency,1st Counselor,1832-12-03,1844-06-27,0
Frederick G. Williams,The First Presidency,2nd Counselor,1833-03-18,1837-11-07,0
Oliver Cowdery,The First Presidency,Assistant President,1834-12-05,1837-09-03,0
Hyrum Smith,The First Presidency,2nd Counselor,1837-11-07,1841-01-24,0
Hyrum Smith,The First Presidency,Assistant President,1841-01-24,1844-06-27,0
William Law,The First Presidency,2nd Counselor,1841-01-24,1844-04-18,0
John C. Bennett,The First Presidency,Assistant President,1841-04-08,1842-05-25,0
Brigham Young,The First Presidency,President,1847-12-27,1877-08-29,0
Heber C. Kimball,The First Presidency,1st Counselor,1847-12-27,1868-06-22,0
Willard Richards,The First Presidency,2nd Counselor,1847-12-27,1854-03-11,0
Jedediah M. Grant,The First Presidency,2nd Counselor,1854-04-07,1856-12-01,0
Daniel H. Wells,The First Presidency,2nd Counselor,1857-01-04,1877-08-29,0
George A. Smith,The First Presidency,1st Counselor,1868-10-07,1875-09-01,0
John Willard Young,The First Presidency,1st Counselor,1876-10-08,1877-08-29,0
John Taylor,The First Presidency,President,1880-10-10,1887-07-25,0
George Q. Cannon,The First Presidency,1st Counselor,1880-10-10,1887-07-25,0
Joseph F. Smith,The First Presidency,2nd Counselor,1880-10-10,1887-07-25,0
Wilford Woodruff,The First Presidency,President,1889-04-07,1898-09-02,0
George Q. Cannon,The First Presidency,1st Counselor,1889-04-07,1898-09-02,0
Joseph F. Smith,The First Presidency,2nd Counselor,1889-04-07,1898-09-02,0
Lorenzo Snow,The First Presidency,President,1898-09-13,1901-10-10,0
George Q. Cannon,The First Presidency,1st Counselor,1898-09-13,1901-04-12,0
Joseph F. Smith,The First Presidency,2nd Counselor,1898-09-13,1901-10-10,0
Joseph F. Smith,The First Presidency,President,1901-10-17,1918-11-19,0
John R. Winder,The First Presidency,1st Counselor,1901-10-17,1910-03-27,0
Anthon H. Lund,The First Presidency,2nd Counselor,1901-10-17,1910-03-27,0
Anthon H. Lund,The First Presidency,1st Counselor,1910-04-07,1918-11-19,0
John Henry Smith,The First Presidency,2nd Counselor,1910-04-07,1911-10-13,0
Charles W. Penrose,The First Presidency,2nd Counselor,1911-12-07,1918-11-19,0
Heber J. Grant,The First Presidency,President,1918-11-23,1945-05-14,0
Anthon H. Lund,The First Presidency,1st Counselor,1918-11-23,1921-03-02,0
Charles W. Penrose,The First Presidency,2nd Counselor,1918-11-23,1921-03-10,0
Charles W. Penrose,The First Presidency,1st Counselor,1921-03-10,1925-05-16,0
Anthony W. Ivins,The First Presidency,2nd Counselor,1921-03-10,1925-05-28,0
Anthony W. Ivins,The First Presidency,1st Counselor,1925-05-28,1934-09-23,0
Charles W. Nibley,The First Presidency,2nd Counselor,1925-05-28,1931-12-11,0
J. Reuben Clark,The First Presidency,2nd Counselor,1933-04-06,1934-09-23,0
J. Reuben Clark,The First Presidency,1st Counselor,1934-10-11,1945-05-14,0
David O. McKay,The First Presidency,2nd Counselor,1934-10-11,1945-05-14,0
George Albert Smith,The First Presidency,President,1945-05-21,1951-04-04,0
